. سميج . ربرث						      |	* سممح . رسصارت
ًاينف اًليلمع اًلكش ةساردلا ذختت ةقيرطلا هذهبف . ةيسردم ةرشن راد |	ًاينف اليلمع الكش ةساردلا ذخيتت ةقيرطلا هذببف . ةيسردم ةرشن را
هردص حتف يقيدص نا وه هلجال ىلوملا تركشو ًاريثك ينع ففخ يذلا نك |	هردص ميتف يقيدص نأ وه هلجال ىلوملا تركشو ًاريثك ىنع ففخ يذلا ن
ًابئان يلكشيشلا بيدا ديقعلا ةيمستب رخآ موسرم ردصو ءارزولا سلجم |	ايئان ىلكشيشلا بيدا ديقعلا ةيمستب رتآ موسرم ردصو ءارزولا سلجم
. دالبلا ءاحنا فلتخم يف ىرخا ةينارمع			      |	. دالبلا ءاهأ فلتع يف ىرخا ةنارمحج
. يفاقتلا صلجملا - ج . يداصتقالا سلجملا - ب . عافدلا سلجم - ا |	. يفاقتلا صاخمللا-ج . يمداصتقالا سلجحلا -ب  . عافدلا سلي ١
. يرطيبلا						      |	. ىرطسلا
الو . ىحصفلا زيكرتل ةدينع ةلواحم عم ةيبعشلا مهافتلا تاجهل     |	الو . ىحصفلا زيك رتل ةدينع ةلواحم معم ةيبعشلا مهافتلا تاحم
. مويلا اذه خيراتب دوقعملا ةيفصتلا قافتا يف لخدي مل يذلا ءزجل |	. موبلا-اذه خيراتب دوقعملا ةيفصتلا قافتا يف لخدي مل يذلا ءزحل
. ةديدجلا ثادحالا هاجت لئاسولا دادعال ةصرف ةموكحلا طعي مل ريص |	. ةديدهلا ثادحالا هاحن لئاسولا دادعال ةصرف ةموكتلا طعي ملديصق
يتلا ةيرادإلا ةئيبلاب متهت نأ بجي ةيرادإلا ةفرعملاف . يرادإلا |	ىتلا ةيرادإلا ةئيبلاب متبت نأ بجي ةيرادإلا ةفرعملاف . يرادإلا
ةيمألا ةحفاكم ةلمح					      |	ةممألا ةحفاكم ةلمح
ةعقر عاستا نم مغرلاب ذا .ً اضاي قارعلا قطانم ضعب ىلع هسفن ءيشل |	ةعقر عاستا نم مغرلاب ذا . أضيأ قارعلا قطانم ضعب ىلع هسفن ءىشل
سرادم لعج يذلا ببسلاو . سرادملا هذه ةرايزل رطق لك نم نودفاوتي |	سرادم لعج يذلا ببسلاو . سرادملا هذه ةرايزا رطق لك نم نودفاوتي
لاحرل رفغا مهللا - ١					      |	لاحرل رفعا مهللا -١
. يركسعلا يكريمالا لخدتلل ةجيتن نانبل يف نييلودلا نيبقارملا ل |	. يركيسلا ىرسمالا لخدتا ةحيتن ثانيل يف نييلودلا نيبقارملا لام
يف زيزعلا دبع ورتايتب هحرسم ىلع ةمجرتلا هذهب ةيحرسملا هذه لثم |	يف زيزعلا دبع ورتايتب هحرسم ىلع ةمجرتلا هذبب ةيحرسملا هذه لثم
اـصرفلا هنم راهزاللا بهنت				      |	ابصرفلا هنم . راهزإلا ببثتت
برحلا تائيس مهلمحت دعب مالسلا تاريخ ىلا نونحي اوذخا نيذلا ىرخ |	نركلا تائيس مهاسحن دعب مالسلا تاريخىلانونجي اوذخا نيذلا ىرخال
نيينادوسلل اهلالخ ةدايسلا				      |	نينادوسال اهالخ ةداسلا
نررالا تناكو . ةيليئارسالا يضارالا ىلا نيراحسلا ةليبق نم لحرل |	نررالا تناكو . ةيليئارسالا يضارالا ىلا نيراحسلا ةلبق نه لحرلا
. ررضلا هقحل يذلا صخشلل ةبه اهمدقت ةفلاتلا ةعاضبلا وا ةقراغلا |	,ررضلا هقُح يذلا صخشلل ةبه اهمدقت ةفلاتلا ةعاضبلا وا ةقرافلا ة
ةدحتملا ةيبرعلا ةيروهمجلا ةموكح ىلا تبلط اهنا ةيقارعلا ةيجراخ |	ةدجتما ,ةيب رعلا ةيروبمحا ةموكح ىلا تيلط امنا ةيقارعلا ةيحراخ
ةيكاطنا ىلا ةجنرف كلم نم مهعم ام عيمجو ةدوعلاو كسملا نوعيبيف  |	ةيكاطنا ىلا ةثرف كلم نم مبعم اه عيمجو ةدوعلاو كسملا نوعيبيف ا
ضعبو ييايفوسلا داحتالا ماق ةريخالا نينسلا يف هنا ملعلا عم اذه |	ضعبو يقايفوسلا داحتالا ماق ةريخالا نينسلا يف هنأ ملعلا عم اذه
مهلمع يف مهدعاسي خويش ديب مومعلا هجوب ةيفيرلا قطانملا ةرادا ت |	مهلع يف ثدعاسي خويش ديب مو.علا هجوب ةيفيرلا قطانملا ةرادا تنا
. ةيليئارسالا دودحلا نم نيبيرقلا ةيوازلاو ةرطينقلا يئاضق ادع  |	. ةيليئارسالا دودخلا نم نيسرقلا ةوازلاو ةرطبنقلا يناضق ادع
راثآلاو نامثلا تاقبطلاب ةينبالا فصو عقوملا اذه رايتخا ىلا تدح |	راثآلاو نائلا تاقمطلاب ةينبالا فصو عقوملا اذه رايتخا ىلا تدح 
عيضاوم تناكف ىربكلا ةيبرعلا ةرادإلا تالكشم سردب تس ناجل ىلا د |	عيضأ وم: تناهكف ىريكلا ةيبرعلا ةرادإلا تالكشم سردب'تس ناجل ىل
: ةرامحلا نبا نيحلت نم روهشملا رعشلاو			      |	: ةرامحا نبا نيحلت نم رووشملا رعشلاو
يذلا لجرلا ةقيقح ىلإ لوصولا يف حجني نأ اهتطساوب كلملل نكمي ةد |	ىذلا لجرلا ةقيقح ىلإ لوصولا ىف حجني نأ اهتطساوب كلملل نكمي ةد
نمم مهريغ [الو ....] نبا الو يدوج نبا الو ةرامحلا نبا الو ةجا |	نمم مهريغ | الو .... | نباالو يدوج نباالو ةرامحلا نباالو ةجاب
ملعا هللاو نيعلا [ىأر] ىر [هتدهاش] هتهاش ام اذهو ىناديملا دي  |	لعا هللاو نيعلا ] ىأر [ ىر | هتدهاش [ هتهاش ام اذهو ىنادمملا 
. ةيبنجا						      |	. ةيسنجإ'
ةسايسلاب وا خيراتلاب وه امو داصتقالاو ةسايسلاو خيراتلاو ملعلا |	ةسايسلاب وا خيراتلاب وه امو داصتقالاو ةسايسلاو خيراتلاو .ملعل
. امهنيب						      |	+ امهنيب
ةنيدم يهو ةينيطرب ةنيدم ىلا يهتنت يتح رهشا ةعبرا ريستف جرخت ا |	ةنيدم يهو ةشطرب ةنيدم ىلا يبتنت ىح ربشا ةعبرا ريستف جرخت اهلم
نودوعي اهتراحبو تيوكلا راجتف . جراخلا يف ةمئادلا هتماقا مهدحا |	تودوعي امراحمو تيوكلا رادتف .جراخلا يف ةئادلا هتماقا هدحا ْذْخَت
نع برعلا اهثرو دـيلاقتو تاداعب زيمتت اذه بناج ىلا ةيبرعلا ةاي |	نع برعلا اهئرو دلاقتو تاداعي زيمتت. !ذه سناج ىلا ةيبرعلا ةايل
ريرحتلا سيئر						      |	ربرحتلا سيئر
ةوهش ايندلا نم يطعا نم لكو . هتبغر ةرخآلا نع تلق همه ايندلا ت |	ةوبشسامندلا نم ىطعا نم لكو . هتيغر ةرخآلا نع تلق همه انندلا ت
خارفلاو كمسلاو يلقابلاك اهريخبت رثكي يتلاو نارفعزلاو ةعيملاو  |	خارفلاو كتمسلاو ىلقابلاك اهريخبت رشلكتي يلاو نارفعزلاو ةعئيمل
يبويألا يرحبلا لوطسألا					      |	يبويآلا يرحبلا لوطسألا
اهنكمي ال ةيقالخا ةيبقانم ةيرظن ساسالا يف يه ثيح نم اهناو . ي |	ابكتم ال ةيقالخا ةيبقاغم ةيرظل سابسالا يف يف ثيح نف اهناف . ي
. ةماع ةفاقث ىلا بعشلا ةجاح ءامعزلا مهفت ىلع فقوتت	      |	. ةماع ةفاقث ىلاسعشلاةحاح ءامعزلا مهفت ىلع فقوتت
تناك ةعانصلا نا يا لماك لكشب مهريغ نع تاعانصلا اوذخا يسابعلا  |	تناك ةعانصلا نا يا لماك لكحثب مريغ نع تاعانصلا اوذخأ يمايعلا 
دادعالل يقيرفالا زكرملا : لاثملا ليبس ىلع اهنم ركذن اهتامهمب  |	دادعالل يقيرفالا زك رملا : لاثملا ليمس ىلع اهنم رك ذن اهتاهمب
ةينطولا حلاصملا قيقحت ىلع ممصملا لمعلا يه اـهتمهمف . ةيبيرجتل |	.ةينطولا حلاصملا قيقحت ىلع. ممصملا لمعلا يه اهتمههش . ةيبيرحت
. هدج يف نيضوفملا مهئارزوو ةيبنجالا لودلا لصانق نم مهرصاع نمم |	. هدح يف نيضوفملا مبئارزوو ةيبنحالا لودلا لصانق نم ممرصاع نمم
نييفحصلا ىلا نوعمتجي نيلوؤسملا لاـجرلا ةيبنجالا نادلبلاو ةيبر |	نايفحصلا ىلا توعمتم نيلوؤسملا لاجرلا ةسنحالا _'رادلبلاو ةيبرع
الو . ءانغلاو صقرلا اهللختي ةجهبم ةحرم ةرتف ءاضقل نوتأي ةرواج |	الو . ءانغلاو صقرلا اهالختي ةجهمم ةحرم ةرتف ءاضقل نوتأي ةرواو
ريرحتلا ةنجل						      |	ريرص ني
نا نكمي لاملا سأر يف ريفوت نم كلذ عبتي ام نا . ةريغصلا ةيجاتن |	نا نكمي لاملا سار يف ريفوت نم كلذ عبتي ام نأ . ةريغصلا ةيجاتن
مه طسوالا قرشلا يف تاموكحلا يفظومو لامعالا باحصا نا فورعملا   |	مه طسوالا قرشلا يف تاموكحملا يفظومو لامعالا باحصا نأ فورحملا
. ةيلاملا اهئابعاب مايقلا نم اهنيكمتل ةلاكولا قودنصل عربتلا ى |	. ةيلاملا امابعاب مايقلا نم اهنيكدلل ةلكولا ىودنصل عربتلا ىلع
ةنيدملا ةالو						      |	ةديدملا ةالو
لوعفم ءاـهتنا نع ءىشانلا عـضولا يف اورظنو نيدلبلا مهت يتلا رو |	لوعفم ءابتنا نع ءىثانلا عضولا يف اورظنو نيدلبلا مهت يتلا روما
. يكريمالا لخدتلا بجشي ناريسع لداع ديسلا ينانبللا يباينلا سلج |	. ىريمالا لخدتلا بحشي ثاريسع لداع ديسلا ينانمالا يلانلا سانا 
. مامتهالا قحتسي نيئجاللا لجال				      |	. ماجهالا قحتسي نيئحاللا لحال
امذ الا يتجهم يف عدي مل					      |	امذ الا ىتحبع يف عدب مل
. لوهجم ليصحت ىلإ يدؤي هجو ىلع تامولعملا بيترت ةيفيك نع ثحاب  |	.لوهجم ليصحت ىلإ يدؤي هجو ىلع تامولعملا بيترت ةيفيك نع ثحاب م
ةيقافتالا بجومب ةيقارعلا ةموكحلا ىضاقتتسو . قافتا ىلا قارعلا  |	ةنقافتالا بجو# ةيقارلا ةموكسللا ىضاقتتسو . قافتا ىلا قارعلا ي
ةقيقح نيخرؤملا اوربخي ىتح ىزغملا نوملعي اونوكي مل ةبصنالا هذه |	هةيقح نيخروملا ادربخي قح ىزغملا نوملعي اونوكي مل ةبصنالا هذه 
يناه نبا						      |	 يناه نبا
ناب داقتعالا ىلا ليمن اننا ريغ . حضاو دحاو ىنعم ىلا اهدر ثحاب |	ناب داقتعالا يلا ليم اننا ريغ .حضاو دحاو "ىنعم ىلا اهّدر ثحابل
- - - - - - - -						      |	هد س سادشد س ساسا مأ
. رهقلا ىلع ءاوتسالا					      |	.رهقلا ىلع ءاوتسالا
نم ةريبك ةجرد ققحت ةيداصتقالا طباورلا ناو ايداصتقا رخالا امهن |	نم ةريبك ةجرد ققحت ةيداصتقالا طباورلا ناو ايداصتقا رخالا اهنم
ريفوتلاو داصتقالاو هيف ةدوجوملا تالوكأملا ةحصو ةفاظن ىلع ةظفا |	ريفوتلاو داصتقالاو هبف ةدوجوملا تالوك أملا ةحصو ةفاظن ىلع ةظف
ةليمجلا نونفلا						      |	ةليمحلا نودعلا
فرصملا يف ةيدقنلا اهلاوما نم ءزج عادياب اهمازلاوً اقبسا انرشا  |	فرصملا يف ةيدقنلا اهاوما نم ءزج عادياب اههازلاو أاقباس انرشا 
. ةعساو ًاـقافآ انماما حتفي عونلا اذه نم ًايرابتخا اًلمع نا . ةب |	. ةعساو ًاَقاف آ انماما متفي عونلا اذه نم ًايرايتخا المع نا . ةي
ارارم حرص دق رطاخ روتكدلا نا اصوصخ ةبقاع ملسا وه يفرحلا لقنلا |	ارارم حرص دق رطاخ روتك دلا نا اصوصخ ةيقاع ملسا وه يفرحلا لقنل
سلدنالا يف يبدالا دقنلا خيرات يف ةيانعلا قحتسي دحاو رهظم كلذ  |	سلدنالا يف يبدالا دقنلا خيرات يف ةيانعلا قحتسي دحاو ربظم كلذ 
لامعالاب مايقلاو ةرادالا ماهم ذخال نييلحملا ناكسلا بيردت ىلا  |	لامجالابمايقلاو ةرادالا ماهم ذخال نييلملا ناكسلا بيردت ىلا نو
ةعانصلا جاتنا لوح ةيئاصحالا تامولعملا رشنو ليلحتو عمجل دادعتل |	ةعءانصلا ماتنا لوح ةيئاصحالا تامولعملا ريشنو ليلحتو عمجب دادع
اياضق يف كلذ نم يهتني ام اريثكو ظافلالاب فرصتلا نسحي يذلا نان |	اياضق ىف كلذ نم ىبتني ام اريثك و ظافلالاب فرصتلا نسحب ىذلا نا
لـبقلا تاـيهشم يناوحقألا اـهرغث اياـنث مـساـبملا رـمح	      |	لبقلا 2 تايهشم  يناوحقألا اهرغث ايانثث ٌممابملا رمح
ةكرتشملا حلاصملل ىلعالا سلجملا ىلا اهميلست ةسنرف ىلع بجاولا م |	ةرتشملا ملاصملل ىلعالا سلجملا ىلا اهميلست ةسنرف ىلع بجاولا مق
ةلماح ردصت ةيداعلا ةنمزالا يف دئارجلا لعجي ام اذهو نوصتخملا ا |	ةلماح ردصت ةيداعلا ةئمزالا ىف دنارخأ لعجيام اذهو نوصتٌغا اهورر
ثاحبالا هذه لعج يف اهعم نواعتلل صاصتخالاو ركفلا لاجر وعدت يهو |	ثاحنالاهذه لعج ىف ابعم ثواعتلل صاصتخالاو ركفلا لاحر وعدت يهو
.ً اضاي باتكلل						      |	. أضنا باتكلل
سيلو . اهيأرب ديقتي الو ةلودلا نوؤش يف اهيلا عجري ةنيعم ةئيهب |	سيلو . اهيأرب ديقتي الو ةلودلا نوؤس يف اهيلا عجرب ةنيعم ةئمبب
ىلع داقعلا دمحم روهمجلا برطيو				      |	ىللع داقعلا دمحم روهمجلا برطيو
. ةيرحلاو لالقتسالا لظ يف ةسدقملا ةينمالا هذه قيقحت	      |	. ةيرعاو لالقتسالا لظ يف ةسدقملا ةمنمالا هذه قيقحت
كلذكو . مويلا اـهريغ يه اماع نيسمخ ذنم ةينانبللا ةيماعلاف     |	كلذك و . موملا اهريغ يه اماع نيسمخ ذنم ةينانبللا ةيماعلاف
روصلاو موسرلاو طئارخلاب دوزمو بهسمو عئار ريرقتلاو . اهملاعم ر |	روصلاو موسرلاو طئارخلاب دوزمو ببسمو عئار ريرقتلاو . اهملاعم ر
. هيلع تلصح يذلا لعفلا در				      |	. ةيلع تاصخ ىدلا لعفلا در
ةحلسالاب ةصاخلا ةيلاملا لئاسملا ضعب ثحبو تاعوفدملا ميظنت نأشب |	ةحاسالاب ةصاخلا ةيلاملا لئاسملا ضعب ثحبو تاعوفدملا مظنت تأشب 
ناتنثا اهنم ابيرقت نوعبرا ةكلمملا ىف ةثيدحلا ةيئادتبالا سرادم |	ناتنثا ابنم امدرقت نوعيرا ةكلامملا .ىف ةثيدخلا ةيثادترالا سرا
يهو يمورلا قيرطبلا اهيلا راشا يتلا ةثالثلا بويعلا نع نيبتاكلا |	ىهو يمورلا قيرطبلا اهيلا راشا ىتلا ةثالثلا بومعلا نع نيبتاكلا
اـهنا ذا ةيح كش الو اـهنا حرصف يدنالوهلا كوهنوفيل وه قئالخلا  |	اهنا ذا ةيح كس الو اهنا حارصف يدنالوهلا كوهمنوفمل وه قئالخلا 
رخآ دلب ىلا ةعلسلا كلت عنص لقن ام اذاف . ريخلا يف ةدايزف ًانكم |	رخخآ دلب ىلا ةعلسلا كلت عنض لقن ام اذاف . ريخلا يف ةدايزف ًانك
لمعلل تاعامتجا اهنا ساسا ىلع ةمظتنم ةروصب هذهك تاعامتجا ينبت  |	لمعلل تاعاّتحا امبا ساسا ىلع ةمظنتنم ةروصب هذهك تاءاّتجا ىنيت د
يتلا لبانقلاف . ةيزاـنلاو ةيتسشافلا نايغط دض يملاعلا عارصلا ى |	يتلا لبانقلاف . ةيزانلاو ةيتسشافلا .نايغط دض ىملاعلا عارصلا ى
يبويالا نيدلا حالص					      |	ينويالا نيدلا حالص
نم ةيلامشلا قطانملا تناك رشع عباسلا نرقلا ةياـهن يفو . دالبلا |	نم ةيلامشلا قطانملا تناك رسشع عباسلا ىررقلا ةياسن يفو . دالمل
مهعئاقوب ًاينغتم ناشلا يوذ ىلا ًافلزتم يريمالا وهبلا وا يكلملا  |	مهعُت اقوب اشغتم ناشلا يوذ ىلا ًافلزتم يريمالا وهبلا وا يكتاملا
وا . اهتدابا ةيفيكو اهتشيعم قرطو تاعورزملاب ةرضملا تارشحلا سر |	وا . اتدابا ةيفبككو اهتشدعم قرطو تاعورزملاب ةرضملا تارشحللا س
ممالا ةبصع سلجم يف ةيوضعلا تناكف . ةدحتملا ممالا ةئيه اهدعب ن |	ممالا ةيصع سلح يف ةيوذعلا تناكف . ةدحتملا ممالا ةئيه اهدعب نم
. زايتمالا بحاص ىلا اهحابرا مظعم دوعيو سيراب يف اهلك فظوت تاك |	.زايتمالا بحاصملا اهحابرا مظعم دوعيو سيرابيف اهلك فظوتتاكن رف
نييرضحلا ناكسلا ةبسن					      |	نايرضخلا ناكسلا ةبسن
زاجحلا ةرادإ						      |	ئاسك ةرادإ
مهريغ دـحال قحي الو . تاوصالا زرفو تيوصتلا تايلمع بقاريو رضحي |	متريغ دحأل قحي الو . تاوصألا زرفو تيوصتلا تايلمت فقازيو رضح ن
نيلثمم دوجو ىلع يوطني مسالا نال انه مسالا اذه اهيلع قلطا نل ي |	نيلثم ةوحو ىلع يوطني مسالا نآل انه مسالا اذه اهيلع قلطا نأ يى
. يبرعلا قرشلا خيرات تلمش يتلا ةمجرتلاو فيلأتلا ةكرح طشنت نا  |	.يبرعلاق رششلا خيرات تاىش ىتلا ةحرتلاو فيلأتلا ةكرح طشنت نا ي
. يدرفلا دوهجملا عيجشت ىلا دالبلا ةجاح عم ضراعتي ام دوعولاو   |	. يدرفلا دوبجما عيجشت ىلا دالبلا ةحاح عم ضراعتي ام دوعولاو
. سميج . ربرث						      |	* سممح . رسصارت
لكشلا باـصا ديدجتلا اذه نا ملعن نحنو . ديدجتلا نم داقنلا فقوم |	لكشلا باصا ديدجتلا اذه نأ ىلعن ن>يو . ديدجتلا نم داقنلا ففقوم
وهو . دالبلا يف اهنوضقي يتلا ةدملا ةدايزو بناجالا نيحئاسلا دد |	وهو . دالبلا يف ابنوضقي يتلا ةدملا ةدايزو بناحالا نيغاسلا ددع
ضعب يوريو يناثلاو لوالا يسلا ىلا يهتنيف هترابع ةسالسو باذجلا  |	ضعب يوريو يناثلاو لوالا يسلا ىلا ىهتنف هتوابع ةسالسو باذملا ى
ىلا ايناطيرب نم رفسلل الثم ةماعلا ةحصلا وا بلقلا ةحارج يف نيي |	ىلا امناطيرب نم رفسلل الّثم ةماعلا ةحصلا وا بلقلا ةحارح ى نيصا
زاهجلا نع هريرقت يف دراولا ركنس لوب ريسلا يأرً اضاي وه اذهو .  |	زابملا نع هريرقت ىف دراولا ركنس لوي ريسلا يأر أضيا وه اذهو . 
مالا ةبرلا وا تيدورفا مسا اوسانت نكلو تيزلاب هتراجح نوحسميو م |	مالا ةيرلا وأ تيدورفا ممأ اوسانت نكلو تيزلاب هتراحح نوحسمعو م
. ةنامورلا ةريظحلا ىلا ةلتحملا				      |	. ةمنامورلا ةريظألا ىلا هتحلا
. وفعلا حارتقا لبق ةفرتقملا مئارجلا نع ماعلا		      |	. وذعلا حارتقا لبق ةفرتقملا مثارطا نع ماعلا
دبع بيج لسرا ظفل يفو ىرداوقلا قاذرلا دـبع ديسلا ىلا بسلاو متش |	دنع بيح لسرا ظفل ىفو ىرداوقلا قادرلا ليع ديسلا ىلا بسلاو مشلا
ىلع ثحبلا كلذ يف امب ةكرتشم ةعفنم تاذ نوكت ةمئاقلا لكاشملا ضع |	ىلع ثحبلا كلذ يف ام ةك رتشم ةعفئنم تاذ توكقت ةمئاقلا لك ادْلا 
. ةرافس ةجرد ىلا نيدلبلا نيب يسامولبدلا ليثمتلا عفر ررقت دقو  |	. ةرافس ةحرد ىلا نيدلبلا نيب يسامولبدلا ليثمتلا مفر ررقت دقو
. اهاوه عبتي						      |	, اهاوه عش
ناجشا . ليصالا حابشا . ةريهظلا جهو . حابصلا ةظقي : نم سبتقم . |	نراخشا . ليصالا حاشا . ةريبظلا جهو . حابصلا ةظقي : نم ستقم , 
نم صوصنلاو بتكلا هذهل امل ثحبلا اذهل ددحملا رصعلا لالخ ترشن ي |	نمصوصنلاو بتكلا هذهل ال ثحبلا اذهل ددحنا رصعلا لالخ ترشن ىتلا
بعشتم صصختم زاـهج ةطخلا هذه جمارب ذـيفنت ىلع فارشالا .	      |	بعشتم صصختم زاهج ةطخلا هذه جمارب ذيفنت ىلع فارشالا 
: بساحلا نبا نيحلت نم وهو يسنلبلا قاقزلا نبا رعشو	      |	: بساحلا نبا نيحلت نم وهو ىسنلسا ىاقزلا نبا رعشو
نع هـتمتاخو هايملاو ةعارزلا نع لصف هيفو . هلودلل ةيبنجالاو ةي |	نع هنتاخو هايملاو ةعارزلا نع لصف هيفو . هلودلل ةسنحالاو ةيبرع
يحاونلاب نومتهي لئالق نيربخم ىلع دمتعت ةيبرعلا دئارجلا امنيب  |	يحاونلاب _هو.تمي لئالق نيربخم ىلع دمتعت ةيبرعلا دئا را انيب ر
ةمظنالاو نيناوقللً اقوف اهلبق نم اهلامعتسا نكميو ةلماكلا ةيسنر |	ةءظنالاو نيناوقلل ًاقفو املمق نم اهلاعتسا نكميو ةلماكلا ةسنرفل
ةيلخلا ةدحو بهذم قاثبنا دهاش يذلا ًابيرقت ليجلا سفن يف سوردلا  |	ةءاخلا ةدحو بهذم قاثنا دهاش يذلا ًاسرقت لملا سفن يف سوردلا هذه
الا مهللا - رخآ بعش اهيلا مهقبس املق ةجرد ىلا لصو يذلا نوناقل |	الا مهللا - رخآ بعش اهيلا مهقبس اماق ةجرد ىلا لصو يذلا نوناقل
ودبيو . ًايعوضومً اخرمؤ الً اعفامد ًارشبم ةيميت نبا نع هتباتك يف  |	ودسو . ًاعوضوم أخرؤم ال ًاعفادم ]رشيم ةيميت نبا نع هتباتك ىف نا
تاضواـفملا يف لوخدلا نم ريغلا عنمي ال هسفن ةصاخ يف ةطخلا هذهب |	تاضوافملا يف لوخدلا نم ريغلا منمي ال هسفن ةصاخ يف ةطخلا هذبب 
ةماقاب حمس دق ةدحتملا ممالا ةمظنم يفً اوعض ةيدوعسلا ةيبرعلا ةك |	ةماقاب ممس دق ةدحتملا ممالا ةمظنم يف ًاوضع ةيدوعسلا ةيبرعلا ةك
ةيبرعلا لودلاو نانويلا يف تمقافت نا تثبل ام نيدرـشملا نيئجالل |	ةسسرعلا لودلاو نائوملا ىف تقافد نا ثّثبل ام نيدرسملا نيثحاللا 
ةيناملرب تاراشتساب ةيروهمجلا سيئر موقي نأب ينانبللا يسايسلا ف |	ةيناملرب تاراشتساب ةيروهمجا سيئر موقي نأب يناتيللا يساسلا فرع
باتكلا راد						      |	كائشخاإد
ةقيرطلاف . مدآ ءانبأك ةريثك هللا ىلا قرط ةيفوصلا لوقي امك كان |	ةقيرطلاف .مدآ ءانبأك ةريثك هللا ىلا قرط ةمفوصلا لوقي اك كانبف
ةركف تناك . ةررحملا ةيبرتلا هنمضتت نا بجي ام يف نيعم دحل ولو  |	ةركف تناك .ةررحغأ ةيبرتلا هنمضتت نأ بحي ام ىف نيعم دّخ ولو راث
أدبت هرفطلا نانظيو . تانيجلا رغصل هتيؤر نكمي ال تانيجلا ةعيبط |	أدت هرفطلا نا نظيو . تانيطا رّمصا هتيؤر نكسمي ال تانيحلا ةءيط 
: ةيسايسلاو ةيعامتجالا فورظلا ببسب ةعئاضلا ةيرشبلا دراوملا :ً  |	: ةمسامسلاو ةيعاتحالا فورظلا بيس ةعئاضلا ةيرششلا دراوملا : ًاع
. قارعلا كلم ينانلا لصيف كلملا				      |	٠. فقارعلا كلم ىبالأ لصيف كلملا
. يرئازجلا يعويشلا بزحلا لحب الليب نب دمحا يرئازجلا سيئرلا رم |	. يرئازجلا يعويشلا بزكلا لحب اللس نب دمحا يرئازجلا سيئرلا رمأ
. تاليهستلاو ينابملا متت املاح				      |	. تاليبستلاو يفابملا متت املاح
. ةيعقاو فادهألا نوكت نأ يغبني -			      |	.ةيعقاو فادهألا نوكت نأ يغبني -
روحالا لازغلاك ينانج يروح رمسالا بيضقلاك ىنثت رمسأ	      |	روحالا لازغلاك ىنانج ىروح  ٌرمسالا بيضقلاك ىنثت رمسأ
رايتخالا قح اهبجومب حنم يتلا ىرخالا تاطلسلا عـيمجل هتسرامم دن |	رايتخالا قح اهبحومم حنم يلا ىرخالا تاطلسلا عيمب هتسرام دنع هر
نا ينانبللا يعانصلا دادعتلا نع ريراقتلا أرقي نمل رهظيو . ةيعا |	ىرأ ىفاتيللا ىعانصلا دادعتلا نع. ريراقتلا أرقب نأ ربظبو . ةيع
يسآم نم ةيناث ةاسأم ىلع راتسلا لدسا ةنسلا كلت يف - انخيرات يف |	ىمام نم ةيناث ةاسأم ىلع راتسلا لدسا ةئسلا كلت ىف - انكراتىف ة
هل عضخي ًاـتباثً امانظ ملاعلا يف ناب يعيبطلا نوناقلاب نونمؤملا  |	( عضل ]تباث ًاماظن ملاعلا يف ناب يعببطلا نوناقلاب نوئمؤملا لاق
ثاحبألا							      |	تاحلا
تاداقتنا دض هدعاسو هججحو يبلكلا نبا ءارآ نم ربكالا مسقلا تبثأ |	تاداقتنا دض هدعاسو هججحو ىلكلا نبا ءارا نم ربكالا مسقلا تبثأ 
توريب يف ةيكريمألا ةعماجلا اـهردصت ةلجم			      |	توّربإ كدمألا تماجبا ايحررصنرب
. مامالأ ىلا ةيندملا عفدي نأو ةننوكلاو نوكلا قيرط	      |	. مامالأ ىلا ةيندملا عفدي نأو ةننوكلاو نوككلا قيرط
. اذه ضيقن ىلع رمالا لب فلحلا وا			      |	. اذه ضميقن ىلع رمالا لب فللا وا
. بيجن دمحم ماعلا دئاقلاو يكريمالا ريفسلاو اشاب رهام يلع سيئر |	. بيجن دمس ماعلا دئاقلاو جكريمالا ريفسلاو اًساب رهام ىلع سيئرل
ىأر نم لواو . رطفلا روذبو ةريمخلا ايالخ اوأرو ةملاسملاو ةراضل |	ىأر نم لوأو . رطفلا روذبو ةريجلا ابالخ اوأرو ةملاسملاو ةراضلا
: ةيلاتلا ماكحالا نم ودبي امك ةيمكلا ثيح نم فيلستلا ديدحت :ً ا |	: ةيلاثلا ماكحالا نم ودبي ام ةيمكلا ثيح نم فيلستلا ديدحت : آل
. نيعم يـنس ميعزو ةيروهمجلا سيئر نيب أشنت يتلا ةديطولا تاقالع |	. نّبعم يّنس معزو ةيروهما سيئر نيب أشنت يتلا ةديطولا تاقالعلا د
ةسايسلل مت اذا هناف اذهلو . ةراسخب انايحا اهعيبو جراخلا ىلا م |	ةسايسا[ مث اذا هناف اذهو .ةراسخانامحا اهعيبو جراخلاىلا مهعئاض
عمتجملا لجا نم لمعلا ىلع ءاضعالا بردتف اهلامعا ذيفنت يف ةيبزح |	عيشلا لجا نم لمعلا ىلع ءاضعالا بردتف اهلاءءا ديفنت يف ةيبرالا
يبرـعلايملـعلا ركـفلا روطت				      |	قرسلايلاايلار وطت
. دالبلا						      |	, هالمأا
. نامع يف يناطيربلا لخدتلا دض ةدحتملا ممالا ىلا ًاجاجتحا ةيقير |	. نا.ء يف يناطي ريلا لخدتلا دض ةدحاملا مهالا ىلا ًاحاحتحا ةيقي
