. سميج . ربرث						      |	. سميج . ربرت
. ص ٣٢٧ . ١٩٦٥ ،بتكلا راد ةعبطم ،توريب . ىلوالا ةعبطلا . بازح |	. ص ٣٢٧ . ١٩٦٥ ،بتكلا راد ةعبطم ،توريب . ىلوالا ةعبطلا . بازح
ةرواجملا ممالا نع مالكلا ىلا اهنزواجتي دقو ةيبرعلا دالبلا راب |	ةرواجملا ممالا نع مالكلا ىلا اهنوزواجتي دقو ةيبرعلا دالبلا را
بصنلا تاودا نال ،بصنلا تاودا یدـه ملعت نا ةصلخم تلواح ىده ةمل |	بصنلا تاودا نال ،بصنلا تاودا ىده ملعت نا ةصلخم تلواح ىده ةماع
يف تعقو يتلا ءاطخألا ناف ،ةمجرتلاو ةحيحصلا ةءارقلا لمشيً اجودم |	يف تعقو يتلا ءاطخألا ناف ،ةمجرتلاو ةحيحصلا ةءارقلا لمشيً اجودز
ىلا ىندأو ،ً اريبتع قنآو ،ةغل موقأ ةباتكلا تراصف يملعلا عسوتلا |	ىلا ىندأو ،ًاريبعتت قنآو ،ةغل موقأ ةباتكلا تراصف يملعلا عسوتلا
ةرمغ يف اهفالتخا ىلع مهراثآ ترمطناف دمألا ليوط مظنم داهطضال ا |	ةرمغ يف اهفالتخا ىلع مهراثآ ترمطناف دمألا ليوط مظنم داهطضال ا
نا وه ةـحنجالاو شارفلا نيب قرفلا نكل . ةرئاطلا ةحنجا عطقم هبا |	.نرآ وه ةحجالاو شارنلا نير قرنلا نكأ ةرئانلا ةسجأ علقم هباتي 
،عـيضاوملا ةراثا نا ريغ ،نيملسملا ناهذا يف رودت يتلا ةلئسالا  |	،عيضاوملا ةراثا نا ريغ ،نيملسملا ناهذا يف رودت يتلا ةلئسالا ن
ددجت ،یرخا ةيقافتاب ١٩٢٤ يناثلا نوناك ةيقافتا تلدبتسا ١٩٣٨ ما |	ددجت ،ىرخا ةيقافتاب ١٩٢٤ يناثلا نوناك ةيقافتا تلدبتسا ١٩٣٨ ما
خيراتلا مهفت ىلع امئاق ًافطع اهتيضقو ةأرملا ىلع ًافطع ءالتما دق |	خيراتلا مهفت ىلع امئاقًافطع اهتيضقو ةأرملا ىلع ًافطع ءالتما دق 
١٧ ةحص وهو بلطلا ةضايرو سفنلا عـبط نع جورخلا وهو ،بدألا ةضاير |	١ةحص وهو بلطلا ةضايرو سفنلا عبط نع جورخلا وهو ،بدألا ةضاير : 
٢٢٥ - ٢٠٠ ١٤٧ ٠٤٤ ١٩٥١ يناثلا نوناك			      |	٢٢٥ - ٢٠٠ ١٤٧ ٤١٤٠ ١٩٥١ يناثلا نوناک
؛ ةلودلا ةدايس ةيرظن : ةيسيئر مئاعد ثالث ىلع يبرغلا ةلودلا ما |	؛ ةلودلا ةدايس ةيرظن : ةيسيئر مثاعد ثالث ىلع يبرغلا ةلودلا ما
. عباسلا يندرالا ةمالا سلجمل ىلوالا ةيداعلا ةرودلا نيسح كلملا |	. عباسلا يندرالا ةمالا سلجمل ىلوالا ةيداعلا ةرودلا نيسح كلملا
. دنهلا ىلا ةبوسنم يهو ،٩٨٧٦ ٤٣٢١			      |	. دنهلا ىلا ةبوسنم يهو ،٩ ٨ ٧ ٦ ي ١ک ٣٢ ١
نيتئام ىلاوح ةدوع ىلع تقفاو ليئارسا نا سدقلا يف ةندهلا ةبقارم |	نيیتئام ىلاوح ةدوع ىلع تقفاو ليئارسا نا سدقلا يف ةندهلا ةبقار
دقتعنو جرم اهانعم ? يقسلا لبإ ینعم ام ،لمملا ليوطتلا اذه دعب  |	دقتعنو جرم اهانعم ? يقسلا لبإ ىنعم ام ،لمملا ليوطتلا اذه دعب 
تنا فيكف ،ءاـيعلا ىتح قهرم ! ةقيدص اي انا		      |	تنا فيكف ،ءايعلا ىتح قھرم ! ةقيدص اي انا
. ص ٨٢ . ت . ال ،رشنلاو ةعابطلل ةيموقلا رادلا ،ةرهاقلا . نويد |	، ص ٨٢ . ت . ال ،رشنلاو ةعابطلل ةيموقلا رادلا ،ةرهاقلا . نويد
باستكا فولالا ىلع كلذب تلهسو ،عساو قاـطن ىلع سرادملا ةماقا يف |	باستکا فولالا ىلع كلذب تلهسو ،عساو قاطن ىلع سرادملا ةماقا يف 
ةيرامعتسالا رشع عساتلا نرقلا ةسايس قيبطت يف رارمتسالا يلا ةـي |	ةيرامعتسالا رشع عساتلا نرقلا ةسايس قيبطت يف رارمتسالا ىلا ةيم
. ةدحتملا ةكلمملا ىف ةكلملا				      |	. ةدحتملا ةكلمملا يف ةكلملا
ةيفاضالا عفاـنملاو تادايزلا اهيلا فيضا اـم اذاً ارالدو ٦٠٠٠ ىل |	ةيفاضالا عفانملاو تادايزلا اهيلا فيضا ام اذا ًارالود ٦٠٠٠ ىلا 
حالفلا ناعجشي ال نالماع امه ،ةلغلا نم ةنيعم ةصح راجيالا نوك و |	جحالفلا ناعجشي ال نالماع امه ،ةلغلا نم ةنيعم ةصح راجيالا نوکو
. ص ٦٤٣ . ١٩٦٢ ،ةطبارلا ةعبطم ،دادغب			      |	. ص ٦٤٣ . ١٩٦٢ ،ةطبارلا ةعيطم ،دادغب
امك ،مهردق كانه ةطرشلا يف اـفظوم نا ريغ . ٢٥٠٠ـب ١٩٦٠ ماع نوي |	امک ،مهردق كانه ةطرشلا يف افظوم نا ريغ . ٢٥٠٠ ب ١٩٦٠ ماع نويل
راـمدلا ىوس يناسنالا ملاعلل مدقت الف ،ةيراضح ةيناكما لك ةوذج  |	رامدلا يوس يناسنالا ملاعلا مدقت الف ،ةيراضح ةيناكما لك ةوذج ا
ةيرح ىلا وه ةماع ةيناسنالا هاجتاف . هنمً اغورفومً افورمع نوكي د |	ةيرح ىلا وه ةماع ةيناسنالا هاجتاف . هنم ً اغورفمو ً افورعم نوكي
. مداخو ةضرمم وا ضرممو بيبط اهنم لک يف ًافصوتسمو ًازك رم ١٤٠ نع |	. مداخو ةضرمم وا ضرممو بيبط اهنم لك يفً افصوتسمو ًازكرم ١٤٠ نع 
رصم خيرات هيلا فاضاو بیليف يول رصع ىتح اسنرف خيرات يفً اباكت د |	رصم خيرات هيلا فاضاو بيليف يول رصع ىتح اسنرف خيرات يفًاباک دوع
كلذكو . نيينعملا ضارقنا دعب نييباهشلا ىلا ةرامالاب دهع ةيناقم |	كلذكو . نيينعملا ضارقنا دعب نييباهشلا ىلا ةرامالاب دهع ةيناقم
كلاذب نوكي هنأل ءيش هل نكي مل ناقح امهن : لاقوً اعيجم نادهاشلا |	كلذب نوكکي هنأل ءيش هل نكي مل ناقح امهنا : لاقو ًاعيمج نادهاشل
٧،٥٨ ٢٥،٢٥ يساسالا رجالا				      |	٧،٥٨٥٨٥ ٢،٢٥٥ يساالا رجالا
. نيساسب صمقت دوقرم وه : سيدقلا اذه رما نم ينرماخي ام كل تلق  |	. نيساسب صمقت دوقرم وه : سيدقلا ذه رما نم ينرماخي ام كل تلق ا
،بسحف ولرتاو يف نويلبان ةميزه يف مهاست نا عطتست مل اهنا ثيحب ً |	،بسحف ولرتاو يف نويلبان ةميزه يف مهاست نا عطتست مل اهنا ثيحب ً
. ةمالسلاو ةطاسبلا ىلا رعقتلاو بانطالا نعً اديروً اديرو تلامو ، |	. ةمالسلاو ةطاسبلا ىلا رعقتلاو بانطالا نعً اديورً اديور تلامو ،
ناـجللا لمعتو تاعامتجالا دقعتو تارضاحملا اهيف ىقلتو اليوط هذه |	ناجنللا لمعتو تاعامتجالا دقعتو تارضاحملا اهيف ىقلتو اليوط هذه
. ديري ام ىلع ةردق یذ نييهتسم كلم			      |	. ديري ام ىلع ةردق يذ نييهتسم كلم
٢٥ . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  |	٢٥ .. . . ٥٥٥٥٥٥.مألا ةيبرعلا ةغللاو
. دمحم دمحا ،يسانكلا					      |	. دمحم دمحا ،ىسانكلا
يتلا تالقنتلا ةرثك هيلا تدا يذلا صصختلا مدع نع ًاجتان تارازولا |	يتلا تالقنتلا ةرثك هيلا تدا يزلا صصختلا مدع نع ًاجتا تارازولا 
. سانلا ريهامج لوانتم يف نوكي اًلقن ةفاقثلا لقنت يتلا ةديحولا  |	. سانلا ريهامج لوانتم يف نوكي اًلقن ةفاقثلا لقنت يتلا ةديحولا 
نورصتقي مهنکلو مالسالا روهظ یتح ةقيلخلا ذنم ملاعلا خیرات نع م |	نورصتقي مهنكلو مالسالا روهظ ىتح ةقيلخلا ذنم ملاعلا خيرات نع م
ذئنيح ةيلمعلا متتف ،رغاش ءلم عـيفرتلا اهيف ربتعي ال ىتلا تالا |	ةكاح ةيلمعلا متف ،رغاش ءلم عيفرتلا اهيف ربتعي ال يتلا تالاحلا
١٩٢٦ ةرهاقلا ةعبطم ،ةرهاقلا - یرخا صصقو سويجرس انوبا	      |	١٩٢٦ ةرهاقلا ةعبطم ،ةرهاقلا - ىرخا صصقو سويجرس انوبا
. نوعمش ليمك سيئرلا					      |	. نوعمش ليیيمك سينئرلا
كلذلو . مهیلع نيفرشملاو مهفئاظو نيبو مهنيب ةلصلا نيبردتملا دـ |	كلذلو . مهيلع نيفرشملاو مهفئاظو نيبو مهنيب ةلصلا نيبردتملا دق
يتلا بيردتلا عاونا ضعبلً ارارتك ناک اـهيف بيردتلا نا ١٩٥٣ عيبر |	يتلا بيردتلا عاونا ضعبل ًارارک ناك اهيف بيردتلا نا ١٩٥٣ عيبر ي
. ص ٢٧٩ . ١٩٦٠ ،ءارهزلا ةعبطم ،دادغب . هجهنمو هلامعا ،يديهارف |	. ص٢٧٩ . ١٩٦٠ ،ءارهزلا ةعبطم ،دادغب . هجهنمو هلامعا ،يديهارفل
١ فوصوم - ةفص فاضم - هيلإ فاضم رورجم - راج فم - اف - ف ٣      |	١ فوصوم - ةفط فاضم -هيلإ فاضم رورجم - راج فم - اف ف ٤٢
بتك اـهنيبو بتكلا نومجرتي هذيمالتو ةعافر ذخاو يواطهطلا ةعافر  |	بتک اهنيبو بتكلا نومجرتي هذيمالتو ةعافر ذخاو يواطهطلا ةعافر د
: يلي امب ةتقوملا ةيذيفنتلا ةطلسلا فلكتيس - ش		      |	: ىلي امب ةتقوملا ةيذيفنتلا ةطلسلا فلكتيس - ش
يذ لک بلق هب بلجتست لطابلاب قحلا تهوم يتلا ،داسفلاب ةبراضلا   |	يذ لك بلق هب بلجتست لطابلاب قحلا تهوم يتلا ،داسفلاب ةبراضلا
فارتعا ىلا مث ،رصم يف مدقتلا يحاون ضعب ىلا ريشيل لقتني انه نم |	فارتعا ىلا مث ،رمم يف مدقتلا يحاون ضعب ىلا ريشيل لقتني انه نم
فراعملا ليبس يف ايدوعس الاير ٧ و ٠٢٢ و ٢٢٤ ةنسلا هذه لالخ يف  |	فراعملا ليبس يف ايدوعس الاير ٧و٠ ٢٢و٢٢٤ ةنسلا هذه لالخ يف قفن
سرامت يتلا ةـئيهلا وا صخشلا ةكلمملا نع هبايغ ةلاح يف ،موسرمب  |	سرامت يتلا ةئيهلا وا صخشلا ةكلمملا نع هبايغ ةلاح يف ،موسرمب ك
ساـنلل مجارت ىلع يوتحي رخآ مسق يرمعلا باتك نم يفارغجلا مسقلا  |	سانلل مجارت ىلع يوتحي رخآ مسق يرمعلا باتک نم يفارغجلا مسقلا ي
يف ةرثعبو ةياغلا يف شيوشت كلذ نع جتن ،ةينامزلا ةيقبسالاو ،ناك |	يف ةرثعبو ةياغلا يف شيوشت كلذ نع جتن ،ةينامزلا ةيقبسالاو ،ناك
رثأتسي امنيب ،اسنرف كنب یدل مسحلا لدعم نع ةئاملاب نينثا صقنت  |	رثأتسي امنيب ،اسنرف كنب ىدل مسحلا لدعم نع ةئاملاب نينثا صقنت 
ًالدعا ًاقحمً افيرتص اهفرصي نا نيفظوملا ناويد عـيطتسي يتلا قوقحل |	ًالداع ًاقحمًافيرصت اهفرصي نا نيفظوملا ناويد عيطتسي يتلا قوقحلا 
ًاينف اًليلمع اًلكش ةساردلا ذختت ةقيرطلا هذهبف . ةيسردم ةرشن راد |	ًاينف اًليلمع ةلكش ةساردلا ذختت ةقيرطلا هذهبف . ةيسردم ةرشن راد
ًابئان يلكشيشلا بيدا ديقعلا ةيمستب رخآ موسرم ردصو ءارزولا سلجم |	ًابئان لكشيشلا بيدا ديقعلا ةيمستب رخآ موسرم ردصو ءارزولا سلجم 
. دالبلا ءاحنا فلتخم يف ىرخا ةينارمع			      |	. دالبلا ءاحنلا فلتخم يف ىرخا ةينارمع
. يفاقتلا صلجملا - ج . يداصتقالا سلجملا - ب . عافدلا سلجم - ا |	. يناقتلا صلجملا - ج . يداصتقالا سلجملا -  ب . عافدلا سلجم - 
. ٨ ةداملا ًاصوصخ قافتالا				      |	. ٨ةداملا ً اصوصخ قافتالا
. ص ١٢٥ . ١٩٦٤ ،نماضتلا راد ،دادغب . ميدقلا قارعلا يف ةفريصلا |	. ص ١٢١ . ١٩٦٤ ،نماضتلا راد ،دادغب . ميدقلا قارعلا يف ةفريصلا
قلعتي اميف ةردابملا هذهل ةجيتن ةلداـبتملا لئاسرلا ميمعت اًلعف  |	قلعتي اميف ةردابملا هذهل ةجيتن ةمابتملا لئاسرلا ميمعت اًلعف مت
. نوبتکی ام ةيلوؤسم مهدحو نولمحتي نيذلا اهيفلؤم ءارآ ىنبتت ال |	. نوبتكي ام ةيلوؤسم مهدحو نولمحتي نيذلا اهيفلؤم ءارآ ىنبتت ال
ملو مهتديقع يف اوتبث مهنا ريـغ ،ةفولأملا قلخلا تافصو اهتافص ن |	ملو مهتديقع يف اوتبث مهنا ريغ ،ةفولأملا قلحلا تافصو اهتافص ني
،ةيعامتجالا ةلادعلا قيقحت وحن مراص يعس لظ يف الا متي نا نكمي  |	،ةيعامتجالا ةلادعلا قيقحت وحن مراص يعس لطوف الا متي نا نکمي ا
ةيركسعلا ةريللاو ،نازف يف يرئازجلا كنرفلاو ،ةقرب يف يرصملا هن |	ةيركدسعلا ةريللاو ،نازف يف يرئازجلا كنرفلاو ،ةقرب يف يرصملا ه
. یملس ،غـیاص						      |	. ىیملس ،غياص
لخدي نا بجي ءيشک امناو . ةينايز وا ةيلامج ةميق هل ءيشك ملعلا  |	لخدي نا بجي ءيشك امناو . ةينايز وا ةيلامج ةميق هل ءيشك ملعلا 
. ةيقذاللا يف يفوت . ٨٨٣١ ماع ةناتسالا يف ىناهاشلا يبطلا      |	. ةيقداللا يف يفوت . ١٨٨٣ ماع ةناتسالا يف يناهاشلا يبطلا
قوقح نأشب ،اـهب رخآلا فرطلا ةبلاطم هنكمي يتلا بيلاطملا عيمج ن |	قوقح نأشب ،اهب رخآلا فرطلا ةبلاطم هنكمي يتلا بيلاطملا عيمج نعً
اـصرفلا هنم راهزاللا بهنت				      |	اصرفلا هنم راهزالا بهنت
[لوالا نيرشت ٢٢/٦ : رطسلا قوف] هتس موي ىناسلا عـيبر رهش يف نا |	][لوالا نيرشت ٢٢ / ٦ : رطسلا قوف] هتس موي ىناسلا عيبر رهش يف 
ءاضيبو ءارمح نافصن ةقرخ مهتيار تناکو ةلمرث نب كيهن كع ةيار ىل |	ءاضيبو ءارمح نافصن ةقرخ مهتيار تناكو ةلمرث نب كيهن كع ةيار ىل
. ص ١٨٣							      |	. ص ١٨٢٣
٥/١٠ ةعمجلا اربوالا					      |	٥/١٠ ةعمجلا لايبوالا
نيينادوسلل اهلالخ ةدايسلا				      |	نيينادوسلل اهللخ ةدايسلا
نررالا تناكو . ةيليئارسالا يضارالا ىلا نيراحسلا ةليبق نم لحرل |	نررالا تناكو . ةيليئارسالا يضارالا ىلا نيراحسلا ةليبقت نم لحر
. هفيلح بلط نم هجاتنتسا نكمیو				      |	. هفيلح بلط نم هجاتنتسا نكميو
. نانبل ،توریب ،توریب يف ةيكريمالا ةعماجلا ،ثاحبألا ریرحت سيئ |	. نانبل ،توريب ،توريب يف ةيكريمالا ةعماجلا ،ثاحبألا ريرحت سيئ
يتلا دقارملاو ريثک دراب ءام برش دعب اميسال ًاعيرس ماعطلا بقعب  |	يتلا دقارملاو ريثك دراب ءام برش دعب اميسالً اعيرس ماعطلا بقعي 
ةعانص - ٧ ةريبلا ةعانص - ٦ تويزلا رصع ةعانص - ٥ تنمسالا ةعانص |	ةعانص - ٧ ةريبلا ةعانص - ٦ تويزلا رصع ةعانص - ٥ تنمبسالا ةعان
ةدحتملا ةيبرعلا ةيروهمجلا ةموكح ىلا تبلط اهنا ةيقارعلا ةيجراخ |	ةدجتملا ةيبرعلا ةيروهمجلا ةموكح ىلا تبلط اهنا ةيقارعلا ةيجراخ
ةعبارلا ةجردلا ١٢٦٣ ٢٨٩٧ ١٧٢٧ ١٦٨٤			      |	١٦٨٤ ١٧٢٧ ٢٨٩٧ ١٢٣٥ ةمعبارلا ةجردلا
ضعبو ييايفوسلا داحتالا ماق ةريخالا نينسلا يف هنا ملعلا عم اذه |	ضعبو يتايفوسلا داحتالا ماق ةريخالا نينسلا يف هنا ملعلا عم اذه
. زعلاو ددؤسلا قيرط اندافحاو انئانبال مسرنو ،ماظعلا انفالسا ه |	. زعلاو ددؤسلا قيرط اندافح او انئانبال مسرز و ،ماظعلا انفالسا
. خلا ةباتکلاو ةءارقلا ملعت نم ًالوقعم ًاردق		      |	. خلا ةباتكلاو ةءارقلا ملعت نم ً الوقعم ًاردق
،زاجحلا يف تنعتملا رجاتلا مهيفو ناكسلا نيب ةدحولا مدع يهو ةين |	ناجحلا يف تنعتملا رجاتلا مهيفو ناكسلا نيب ةدحولا مدع يهو ةينا
،ةرغصم ةروص طوطخ مضي هنکلو ،بيوبتلاو جهنلا يسردم يجزايلا لامک |	،ةرغصم ةروص طوطخ مضي هنكلو ،بيوبتلاو جهنلا يسردم يجزايلا لامك
. ةيليئارسالا دودحلا نم نيبيرقلا ةيوازلاو ةرطينقلا يئاضق ادع  |	. ةيليئارسالا دودحلا نم نيييرقلا ةيوازلاو ةرطينقلا يئاضق ادع
عيضاوم تناكف ىربكلا ةيبرعلا ةرادإلا تالكشم سردب تس ناجل ىلا د |	عيضاوم تناکف ىربكلا ةيبرعلا ةرادإلا تالكشم سردب تس ناجل ىلا د
يذلا لجرلا ةقيقح ىلإ لوصولا يف حجني نأ اهتطساوب كلملل نكمي ةد |	يذلا لجرلا ةقيقح ىلإ لوصولا يف حجني نأ اهتطساوب كلملل نكمي ةد
: يلي ام سمياتلا ةديرج تبتک ةبسانملا هذه يفف . ايناطيرب يف ني |	: يلي ام سمياتلا ةديرج تبتك ةبسانملا هذه يفف . ايناطيرب يف ني
ملعا هللاو نيعلا [ىأر] ىر [هتدهاش] هتهاش ام اذهو ىناديملا دي  |	ملعا هللاو نيعلا [ ىأر] ىر [هتدهاش] هتهاش ام اذهو يناديملا دي
ولو . ةيلبق ةيبصعو ةوسقب زيمتي ناك ىذلا هلالا ،قافآلا قيضلا ي |	ولو . ةيلبق ةيبصعو ةوسقب زيمتي ناک ىذلا هلالا ،قافآلا قيضلا ي
ريبمش ليمك نيحلت ١١/١٢ كبحت كتامح			      |	ريبمش ليمك نيحلت ١١/١٢ ةنايسبجالا كبحت كتامح
. طسوألا قرشلا تاساردو ةيبرعلا تاساردلاب ىنعتو ،توريب	      |	. طسوألا قرشلا تاساردو ةيبرعلا تاساردلاب ىتعتو ،توريب
ةسايسلاب وا خيراتلاب وه امو داصتقالاو ةسايسلاو خيراتلاو ملعلا |	ةسايسلاب وا خيراتلاب وه امو داصتقالاو ةسايسلاو خيراتلاو . ملع
ةنيدم يهو ةينيطرب ةنيدم ىلا يهتنت يتح رهشا ةعبرا ريستف جرخت ا |	ةنيدم يهو ةينيطرب ةنيدم ىلا يهتنت ىتح رهشا ةعبرا ريستف جرخت ا
نودوعي اهتراحبو تيوكلا راجتف . جراخلا يف ةمئادلا هتماقا مهدحا |	نودوعي اهتراجبو تيوكلا راجتف . جراخلا يف ةمئادلا هتماقا مهدحا
يبرعلا ركفلا لغلغتو كارتالا ملسا اذكهو . ًايفاقث مهيلع ترصتنا  |	يبرعلا رکفلا لغلغتو كارتالا ملسا اذكهو . ًايفاقث مهيلع ترصتنا 
. ةيبرعلا تاموكحلا ءاسؤر ىلع ،نانبل يف ةيرصملاو		      |	. ةييرعلا تاموكحلا ءاسؤر ىلع ،نانبل يف ةيرصملاو
ةوهش ايندلا نم يطعا نم لكو . هتبغر ةرخآلا نع تلق همه ايندلا ت |	ةوهشايندلا نم يطعا نم لكو . هتبغر ةرخآلا نع تلق همه ايندلا تن
خارفلاو كمسلاو يلقابلاك اهريخبت رثكي يتلاو نارفعزلاو ةعيملاو  |	خاريفلاو كمسلاو ىلقابلاك اهريخبت رثكي يتلاو نارفعزلاو ةعيملاو
نمً امدقا ةيتايفوسلا ةمصاعلا ىلا لصو دق ،ةلاكولاب عافدلا ريزوو |	نم ً امداقت ةيتايفوسلا ةمصاعلا ىلا لصو دق ،ةلاكولاب عافدلا ريز
نوملسملا ربتعي ملو . ةريبک ةيجيتارتسا ةيمها تاذو ةسدقم ةطقن ي |	نوملسملا ربتعي ملو . ةريبك ةيجيتارتسا ةيمها تاذو ةسدقم ةطقن ي
ةقفاوملا كلت لوصو دنعو ،هيلع ةقفاوملا ماعلا مكاحلل نوناقلا عو |	ةقفاوملا كلك لوصو دنعو ،هيلع ةقفاوملا ماعلا مكاحلل نوناقلا عو
. عامتجالا ملع لوصا یف هقمعت یلا دنتست ةديفم تارابتعاو تاظحال |	. عامتجالا ملع لوصا يف هقمعت ىلا دنتست ةديفم تارابتعاو تاظحال
اهنكمي ال ةيقالخا ةيبقانم ةيرظن ساسالا يف يه ثيح نم اهناو . ي |	اهنكمي ال ةيقالخا ةيبقاثم ةيرظن ساسالا يف يه ثيح نم اهناو . ي
? هشتين لاق امك ،ةوقلا ةدارا ةمدخ يف لمعتسي كينكت ةفرعملا نا  |	? هشنين لاق امك ،ةوقلا ةدارا ةمدخ يف لمعتسي كينكت ةفرعملا نا 
اهدلق جذامن تدغ ام ناعرس لب ،بسحف اهتاذل ةديفم اهباـحصال تابه |	اهدلق جذامن تدغ ام ناعرس لب ،بسحف اهتاذل ةديفم اهرلحصال تابه
ًاقيقتح ةيرودلا تارمتؤملا دقعو ،ةيبرعلا ةعماجلا لود نيب نيرضاح |	ًاقيقحل ةيرودلا تارمتؤملا دقعو ،ةيبرعلا ةعماجلا لود نيب نيرضاح
٣٠١							      |	٣ ٠١
ريرحتلا ةنجل						      |	ريرحنلا ةنبل
ةنسلاك،لحملا تاونس يف ةلاطبلا هذه ةأطو دتشتف ،رطملا ىلع دامتع |	ةنسلاك ،لحملا تاونس يف ةلاطبلا هذه ةأطو دتشتف ،رطملا ىلع دامت
. ةيلاملا اهئابعاب مايقلا نم اهنيكمتل ةلاكولا قودنصل عربتلا ى |	. ةيلاملا اهئابعاب مايفلا نم اهنيكمتل ةلاكولا قودنصل عربتلا ى
ةنيدملا ةالو						      |	ةذيدملا ةالو
الو یرق مهل سيل ءاسلم ءارحص يف لوزن مهو سيقدنبلا یعدت ةيرق ىل |	الو ىرق مهل سيل ءاسلم ءارحص يف لوزن مهو سيقدنبلا ىعدت ةيرق ىل
لوعفم ءاـهتنا نع ءىشانلا عـضولا يف اورظنو نيدلبلا مهت يتلا رو |	لوعفم ءاهتنا نع ءىشانلا عضولا يف اورظنو نيدلبلا مهت يتلا روما
. مامتهالا قحتسي نيئجاللا لجال				      |	. ماتهالا قحتسي نيئجاللا لجال
امذ الا يتجهم يف عدي مل					      |	امف الا يتجهم يف عدي مل
. لوهجم ليصحت ىلإ يدؤي هجو ىلع تامولعملا بيترت ةيفيك نع ثحاب  |	. لوهجم ليصحت ىلإ يدؤي هجو ىلع تامولعملا بيترت ةيفيك نع ثحاب 
ةيقافتالا بجومب ةيقارعلا ةموكحلا ىضاقتتسو . قافتا ىلا قارعلا  |	ةيقافتالا بجومب ةيقارعلا ةمقوكحلا ىضاقتنسو . قافتا ىلا قارعلا
. هعومجمب بعشلا ةحلصم قفو ةيداصتقالا ةايحلا هجوت - ٣	      |	. هعومجمب بعشلا ةحلصم قفو ةيداصتقالا ةايحلا هجوت - ٢٣
ةقيقح نيخرؤملا اوربخي ىتح ىزغملا نوملعي اونوكي مل ةبصنالا هذه |	ةقيقح نيخركوملا اوربخي ىتح ىزغملا نوملعي اونوكي مل ةبصتالا هذ
ديوس بتکو - ٤						      |	ديوس بتكو - ٤
٤٠٠							      |	٤٠٠.
،يسابعلا رصعلا يف ةيبرتلا فادهال زجوملا ضرعلا اذه نم جتنتسن ن |	،يسابعلا رصعلا يف ةيبرتلا فادهال زجوملا ضرعلا اذه نم جتنتسن ن
. ص ١٦٤ . ١٩٦٤ ،ةراضحلا راد ،توريب . ةينثو فوهك		      |	. ص ١٦٤ . ١٩٦٤ ،ةراضحلا راد ،توريب . ةينثو فوهک
ىلا لـیمی میلس قوذ يذ لک نمو دالبلا مدقت يف بغری ةيانع يذ لک  |	ىلا ليمي ميلس قوذ يذ لك نمو دالبلا مدقت يف بغري ةيانع يذ لك ن
ناب داقتعالا ىلا ليمن اننا ريغ . حضاو دحاو ىنعم ىلا اهدر ثحاب |	ناب داقتعالا ىلا ليمن اننا ريغ . حضاو دحاو ىنعم ىلا اهأر ثحاب
- - - - - - - -						      |	-  - -  - - -
. ص ١٠٨							      |	. ص ١٠ ٨
. ٢٨٨/٤ : يراذع نبا ١					      |	. ٢٨٨ /٤ : يراذع نبا ١
،يبلحلا يبابلا يفطصم ،ةرهاقلا . ىلوالا ةعبطلا . مكحلا حرش يف  |	،يبلحلا يبابلا ىفطصم ،ةرهاقلا . ىلوالا ةعبطلا . مكحلا حرش يف 
ريفوتلاو داصتقالاو هيف ةدوجوملا تالوكأملا ةحصو ةفاظن ىلع ةظفا |	ريفوتلاو داصتقالاو هيف ةدوجوملا تالوك أملا ةحصو ةفاظن ىلع ةظف
. اج ،ثنيلک ،سکورب					      |	. اج ،ثنيلك ،سكورب
فرصملا يف ةيدقنلا اهلاوما نم ءزج عادياب اهمازلاوً اقبسا انرشا  |	فرصملا يف ةيدقنلا اهلاوما نم ءزج عادياب اهمازلاوً اقبا انرشا ا
،ًادحاوً ادحوا تاقولخملا هذه نوفشكي اوعرش اهعنص نسحتو رهاجملا ت |	،ًادحاو ً ادحاو تاقولخملا هذه نوفشكي اوعرش اهعنص نسحتو رهاجملا 
اتنالا ربتعي نا هذه ةلاحلاو بجاولا نم ناو ،نادلبلا نم هريغ ال |	ةتنالا ربتعي نا هذه ةلاحلاو بجاولا نم ناو ،نادلبلا نم هريغ ال
. اهلبق نم معدتو ةموکحلا یلا دنتست ،يعامتجالا حالصالل ةريبكلا |	. اهلبق نم معدتو ةموكحلا ىلا دنتست ،يعامتجالا حالصالل ةريبكلا
لخدلا ةلـمج نم ةئاملا يف ٤٢ وحن ضرالل ةيعارزلا تاجتنملا ةميق  |	لخدلا ةلمج نم ةئاملا يف ٤٣ وحن ضرالل ةيعارزلا تاجتنملا ةميق ل
. ةعساو ًاـقافآ انماما حتفي عونلا اذه نم ًايرابتخا اًلمع نا . ةب |	. ةعساوً اقافآ انماما حتفي عونلا اذه نمًايرابتخا اًلمع نا . ةبصخ
. ٤ : ١٦ يناثلا مايالا رابخا يف اهركذ			      |	. ، : ١٦ يناثلا مايالا رابخا يف اهرکذ
لامعالاب مايقلاو ةرادالا ماهم ذخال نييلحملا ناكسلا بيردت ىلا  |	لامعالاب مايقلاو ةرادالا ماهم ذخال نييلحملا ناكسلا بيردت ىلا 
كب يرورس يف ضرتعي كنم روتف ةافاوم نم يطاشن تقو يف كيلع فاخأ ي |	كب يرورس يف ضرتعي كنم روتف ةافاوم نم يطاشن تقو يف كيلع فاخأ ي
